	x	y	gene	sig	fc	cluster
ZBTB18	12.31539248	-1.304727015	ZBTB18	0	0.981879054	3
HMGB2	-17.82838859	-5.50597393	HMGB2	1	1.524590092	4
POU2F2	4.231439488	7.413126472	POU2F2	-1	-1.094978512	7
EMP2	-12.90102718	-0.053120333	EMP2	1	2.237612198	5
ARHGAP6	14.98859903	14.93605803	ARHGAP6	-1	-1.857431216	5
SIX5	-10.55322212	-11.39544167	SIX5	1	1.993521268	9
SERPINB1	-11.42368769	-0.456489644	SERPINB1	1	1.351166868	3
GADD45B	-15.03776467	-0.149506448	GADD45B	1	1.962926535	7
CAMKV	4.319307612	7.462837848	CAMKV	0	-0.739349632	10
SMC2	-17.67058612	-5.054081133	SMC2	0	0.774690574	10
TCF3	-7.010198869	-3.72230243	TCF3	1	1.082427334	10
POU6F2	11.42424286	21.00438812	POU6F2	-1	-1.631304244	10
PDIA5	-4.025376474	1.673854657	PDIA5	0	0.849934319	10
GPX8	-14.61696436	-3.05266591	GPX8	1	2.840438678	4
SPART	10.90527382	10.62205978	SPART	0	0.883441266	3
ACAA2	-16.21095633	-4.586487542	ACAA2	1	1.162713242	11
LLGL2	-11.85863282	-2.090944499	LLGL2	1	2.465707687	10
GRIA1	11.23403397	18.95696939	GRIA1	-1	-1.61440717	2
EFHD1	-6.44271713	8.004889919	EFHD1	1	2.101693313	2
ABITRAM	-0.615918311	-3.567672645	ABITRAM	0	0.576672878	4
PTPN13	4.916659922	11.67121573	PTPN13	1	1.530436772	9
CTIF	9.029690683	12.66797608	CTIF	0	-0.425170561	12
NTM	9.762979203	18.97561833	NTM	0	-0.93123215	3
BRINP1	11.83714318	17.68397175	BRINP1	0	-0.964464315	13
PSEN1	3.746474827	14.28541327	PSEN1	0	0.351736936	14
CIB1	-10.1278151	-5.322451727	CIB1	1	1.336903256	10
CKS2	-17.84474137	-5.605049097	CKS2	1	2.02704701	3
SCN2A	11.40216003	17.89158755	SCN2A	-1	-1.035409091	3
NOM1	-3.542829852	-5.515116856	NOM1	0	0.72547494	3
NT5DC1	5.742781756	14.9696207	NT5DC1	0	0.896723821	5
SURF4	5.787865474	-1.065446915	SURF4	0	0.82559452	5
EFCAB14	4.819142632	-1.126408744	EFCAB14	0	0.801771576	15
LRRC42	-2.159859039	-5.019764417	LRRC42	0	0.497801192	1
YAP1	-8.388622513	5.058470687	YAP1	1	2.538005472	2
SND1	8.556005568	13.19332578	SND1	0	0.831726776	16
VIM	-14.53847985	0.829411304	VIM	1	1.076131831	6
FYCO1	-10.16776475	-1.588774691	FYCO1	1	1.683237895	5
LAPTM4A	4.004868211	-11.11494007	LAPTM4A	0	0.80545877	2
FLRT2	11.03531015	18.61558344	FLRT2	-1	-1.26017933	14
PTPRD	9.900439374	18.97746623	PTPRD	0	-0.57413642	2
GRAMD1B	8.32692644	13.81086525	GRAMD1B	0	-0.976945251	5
EHD4	-11.34595954	-0.450313356	EHD4	1	1.54396295	6
DNAAF5	2.155193446	0.897785564	DNAAF5	1	1.071013453	9
BEGAIN	3.809042873	4.743286583	BEGAIN	-1	-1.238912458	2
MAP7D2	9.67638794	7.815906037	MAP7D2	0	-0.948820106	7
SPOCK1	9.435481916	19.01837939	SPOCK1	-1	-1.021012671	17
LZTFL1	3.792914166	-1.046618371	LZTFL1	1	1.310647894	2
SEPTIN4	4.870658733	-5.39881955	SEPTIN4	0	-0.703564849	11
RASSF10	-2.252981007	-14.42076515	RASSF10	1	1.298742402	10
SOBP	10.25977327	17.21143924	SOBP	0	-0.685984696	8
GPR162	6.327906617	-4.445106573	GPR162	0	-0.769228141	17
SNX33	-12.39655397	-10.92212174	SNX33	0	0.88294403	9
AKR7A2	-5.999490326	-9.456819321	AKR7A2	0	0.742163162	6
ZFP36L1	-13.68912025	2.115924504	ZFP36L1	1	2.132032458	2
YBX3	-13.78834245	-0.66410931	YBX3	1	1.942203884	1
CACNB3	-3.022116847	0.219063401	CACNB3	0	-0.443124611	5
CANX	13.6177656	5.037884817	CANX	0	0.559198667	5
DOK4	-5.434498113	-10.13885712	DOK4	0	-0.626809449	1
SPNS2	3.348413152	3.993885191	SPNS2	0	-0.528823019	5
GNPDA1	1.205841887	-9.627501968	GNPDA1	0	0.631037878	2
DDX54	-5.216936696	-11.6156424	DDX54	0	0.407700281	3
PRICKLE2	11.56908802	17.40799359	PRICKLE2	0	-0.730869972	2
CA14	-12.74243229	-2.508140253	CA14	0	0.923904073	2
SERTAD3	-6.934193915	-13.59552484	SERTAD3	0	0.665785573	9
TGIF2	-12.51907109	-3.422826453	TGIF2	1	1.648468033	2
S1PR1	-13.54975564	-2.151909972	S1PR1	1	1.613947322	18
TMBIM6	11.39825955	-3.131328108	TMBIM6	0	0.569004636	4
DMTN	5.807568229	8.471654869	DMTN	0	-0.503029365	9
G3BP1	7.020555858	2.578034917	G3BP1	0	0.848342421	14
MSANTD1	-6.268926304	-3.799173093	MSANTD1	-1	-1.187769831	5
MCM3	-16.41554557	-5.101578625	MCM3	1	1.077934751	7
PACS2	4.473209751	5.417358951	PACS2	0	-0.534469435	3
MFSD14B	5.095259607	0.633455145	MFSD14B	0	0.725268173	5
CPNE3	8.487287954	3.515834145	CPNE3	0	0.676677826	9
RFTN2	-5.523486099	8.428597614	RFTN2	1	1.163920753	2
YES1	-8.097144638	2.979817522	YES1	0	0.994927918	6
RAI2	1.451400079	0.808154562	RAI2	0	-0.595962974	8
BASP1	12.84328641	16.94676121	BASP1	0	-0.505414445	3
STRIP1	3.043643639	-2.864662791	STRIP1	0	-0.431750136	2
RTN1	10.61943373	18.28675506	RTN1	0	-0.662102989	2
GLTP	-6.487478048	7.624550351	GLTP	0	0.624494294	10
SOX8	-12.66732365	-0.610545522	SOX8	0	0.890425306	7
KIAA1549L	11.57133041	17.98993233	KIAA1549L	0	-0.697781604	2
BEX2	10.89430857	-5.846409612	BEX2	0	-0.822416872	14
RALYL	10.99575189	19.36369212	RALYL	-1	-1.76345961	10
BUB1	-17.53794356	-5.900741492	BUB1	1	2.313668816	10
DAZAP2	2.584723343	-8.059247131	DAZAP2	0	0.615432308	19
SEMA4G	-7.783613268	-1.172745981	SEMA4G	0	-0.788521631	10
SYT12	3.85544327	5.576946479	SYT12	0	-0.789528981	2
DHX40	-2.106137294	-3.01722412	DHX40	0	0.931405115	2
MAD2L1	-17.68934421	-5.582167509	MAD2L1	1	1.701767058	6
SLC6A16	-7.7074461	0.954302317	SLC6A16	1	1.891979911	5
OSBP2	9.026452755	15.85084135	OSBP2	0	-0.65429895	19
LINGO2	11.98488969	19.16815852	LINGO2	0	-0.975670103	15
PIM3	-12.14476234	-1.575571634	PIM3	0	0.975381268	1
SEC24D	3.565721006	11.90020914	SEC24D	1	1.32007292	2
STK26	-9.693202401	-0.524629917	STK26	1	2.420642035	2
HEYL	-13.41697563	-1.437089965	HEYL	1	2.903369057	5
PLAG1	3.969468012	0.669441095	PLAG1	1	1.446705644	4
C3orf62	-4.400885253	-5.754944421	C3orf62	0	-0.651811773	4
SCN9A	15.05005308	13.58917119	SCN9A	-1	-1.466468163	3
VPS16	-4.662497863	-5.894881941	VPS16	0	-0.55003382	3
SEPTIN2	11.41399986	11.52405246	SEPTIN2	0	0.60466333	10
NEFM	10.09405051	-5.61648477	NEFM	-1	-1.380265126	6
BCKDHA	-6.935463388	-9.729475248	BCKDHA	0	0.661467561	19
ADGRL1	6.467981585	8.500968884	ADGRL1	0	-0.808045609	5
INPPL1	-12.11217439	-2.93206525	INPPL1	1	1.106436132	5
MAPRE3	12.82379611	5.529051498	MAPRE3	0	-0.57762876	5
PNP	-15.00214922	-2.967546886	PNP	0	0.890819185	7
CACUL1	10.00785705	9.435313988	CACUL1	0	0.609678375	5
FGFBP3	-14.43093763	-3.750912467	FGFBP3	1	1.317370706	10
HECW1	11.9340364	19.22449379	HECW1	0	-0.827089365	3
COL2A1	-13.14027364	-4.962761083	COL2A1	1	4.446863603	8
CES4A	10.70107744	-0.128532318	CES4A	-1	-1.231981899	18
PNRC1	2.797390661	-8.911226043	PNRC1	0	0.919504769	4
PAK4	-5.548720806	-4.926538359	PAK4	0	0.8324744	5
PPP2R5A	-0.319862529	6.009095053	PPP2R5A	0	0.915808215	9
CNTLN	0.055428514	7.918346904	CNTLN	0	0.940496727	15
SLC16A1	-3.960628667	-0.956156969	SLC16A1	1	1.003443968	10
SRGAP1	15.91366688	13.87091344	SRGAP1	-1	-1.05332591	10
NADK2	-0.572340769	4.695865223	NADK2	0	0.650024831	5
PRKCD	-11.974186	-5.719646277	PRKCD	0	-0.743707031	9
LGI2	-8.763691344	2.446670645	LGI2	0	-0.940550925	1
VGF	13.19554035	1.809464492	VGF	-1	-1.713396613	1
ASPHD1	9.618748317	-0.199640044	ASPHD1	0	-0.770942569	3
PCNX2	11.08796802	17.12867966	PCNX2	0	-0.779067883	9
RAPGEFL1	5.681260331	7.960570563	RAPGEFL1	0	-0.827502795	10
H2BC12	-14.56419082	-10.5651586	H2BC12	1	1.237504864	5
ARHGEF17	3.910324321	3.568395894	ARHGEF17	0	-0.585423944	9
MGAT5	7.782012578	16.67329176	MGAT5	0	-0.596532748	10
SERP1	10.77139407	5.063380218	SERP1	1	1.112133377	20
TOR1AIP1	-0.014063572	-2.63544535	TOR1AIP1	0	0.798925168	2
MPP3	-7.396678949	0.909880195	MPP3	0	-0.482104608	3
CPNE7	-3.376211969	4.822809191	CPNE7	-1	-1.766586472	17
NRSN2	7.69484971	-1.235175159	NRSN2	0	-0.572766354	10
CACNA1D	11.32944909	17.82902956	CACNA1D	-1	-1.13598262	17
SMAD6	-11.22473587	-0.734477357	SMAD6	1	2.006920445	2
FAM117A	-4.160224653	0.439503148	FAM117A	1	1.312535474	5
CEP112	12.47054054	16.741903	CEP112	1	1.517220257	12
QKI	7.533062067	18.84747717	QKI	0	0.972586166	19
HIC1	-13.4392739	-4.36651489	HIC1	-1	-1.479090616	10
TUBD1	-2.837589663	-3.703659545	TUBD1	0	0.633458197	2
MASP1	-9.888302763	0.944320379	MASP1	1	1.112920059	2
EPCAM	-3.512251077	-16.02675978	EPCAM	-1	-2.034693586	4
KCNIP2	-2.844164166	10.92740627	KCNIP2	0	-0.848550906	1
PACRGL	8.520525197	5.376455312	PACRGL	0	0.755766164	2
SOX9	-13.95397063	0.822102735	SOX9	1	1.053563059	17
UNC119B	-4.950588525	-12.51975236	UNC119B	0	0.823860135	4
ARRB1	4.448481247	6.730436796	ARRB1	0	-0.650667231	4
MCM6	-15.70319952	-4.873986596	MCM6	0	0.666056291	6
KIAA1958	13.89801957	14.06498813	KIAA1958	1	1.130104784	9
SLC31A1	1.807662857	-1.766685964	SLC31A1	1	1.29056066	4
HNRNPF	-5.306824453	-1.85949768	HNRNPF	0	0.736780102	17
SAMD14	-7.668296968	-0.894933527	SAMD14	0	-0.591066911	11
SDC1	-8.008235523	-13.3727706	SDC1	0	-0.553014412	9
SDHD	-1.745458149	1.148944252	SDHD	0	0.857794715	9
EXT1	10.41913416	18.22195707	EXT1	0	0.802194657	4
SCAF11	9.136937854	9.989662803	SCAF11	0	0.653820912	17
RTN4RL1	5.627488189	8.343138957	RTN4RL1	-1	-1.250033252	14
ARG2	0.828249478	2.841755035	ARG2	0	-0.845749395	20
PSMD3	1.370319016	-7.156231539	PSMD3	0	0.445195432	19
ABCB9	5.888975613	6.96569511	ABCB9	0	-0.547005282	21
CALU	9.168147527	2.843657506	CALU	1	1.014578243	9
SEC13	6.532951569	-1.228400311	SEC13	0	0.91593165	6
STT3A	-2.477997004	-5.480962877	STT3A	1	1.160121608	3
CCND2	-1.571083802	2.618038831	CCND2	1	1.354676724	5
IQSEC3	7.12434889	9.080087027	IQSEC3	-1	-1.155180904	3
ASPRV1	-11.0768282	-11.1973264	ASPRV1	0	-0.923729306	4
SYP	11.77579306	-4.641794896	SYP	0	-0.710798532	7
SEMA4A	-8.18461744	-0.350293049	SEMA4A	0	-0.987681101	19
SNRNP200	5.609452764	-2.055213487	SNRNP200	0	0.546764033	2
NRARP	-14.85329617	0.179289427	NRARP	1	1.406108892	1
RAB11FIP4	7.721356468	12.35832613	RAB11FIP4	0	-0.401766799	11
ALG2	-4.285558642	-12.12737329	ALG2	1	1.024010738	4
MAST2	9.584161157	8.443754443	MAST2	0	-0.564868915	14
CHML	-6.270502689	-16.83716173	CHML	1	1.74414318	1
TAOK3	9.17427001	15.05315468	TAOK3	0	-0.587063061	6
TGDS	-5.758186752	-7.368562271	TGDS	1	1.182594497	9
ALS2CL	-8.505265158	-2.365358814	ALS2CL	-1	-1.364166148	10
SNX5	-0.628144307	-4.681231693	SNX5	0	0.861810514	1
GNAI2	-0.1953048	-0.222939298	GNAI2	0	0.532446909	6
DNER	4.320813358	16.41768095	DNER	0	-0.915638608	4
MAT2B	2.098242714	-7.718221398	MAT2B	1	1.085122119	17
MAFB	-8.685782432	2.708640218	MAFB	-1	-1.778262208	4
ADAM19	3.547872752	7.922824573	ADAM19	0	-0.654123864	8
EBF3	-9.964404633	2.521731075	EBF3	-1	-1.135528438	2
SLC25A12	11.33495026	16.7900938	SLC25A12	0	-0.509464988	3
CELF6	-1.280206842	1.780074367	CELF6	0	-0.699740978	9
RHOBTB2	4.632242129	8.987730138	RHOBTB2	0	-0.46802227	2
SMC4	-17.84809062	-5.407698168	SMC4	1	1.997516066	1
CMTM7	-13.02390143	2.478681061	CMTM7	1	2.088065039	19
KCNK3	-8.233486778	-0.435466591	KCNK3	0	-0.511753346	17
MARCHF11	2.676218223	10.8130649	MARCHF11	-1	-2.297794978	10
NAT16	-7.202726774	-8.95263303	NAT16	0	-0.834656626	4
GPC4	0.695215301	4.577112506	GPC4	1	2.00404269	6
SVOP	6.950991081	10.73646917	SVOP	0	-0.637974061	4
PTBP1	-2.886248766	-8.125663509	PTBP1	0	0.968656723	22
GOLT1A	-7.386625718	-1.328514496	GOLT1A	-1	-2.332628644	23
ESPN	-11.94445963	-4.531586376	ESPN	1	2.32009864	5
FOXD4	-13.5041627	-10.93373799	FOXD4	-1	-1.940676335	4
EFR3B	6.948875386	12.6717299	EFR3B	0	-0.631786514	18
GTF3C4	-1.091497559	-6.93888971	GTF3C4	1	1.159447212	9
ADAM23	11.58950573	17.42259259	ADAM23	0	-0.712281308	24
SMO	-11.60743967	-2.285451647	SMO	1	1.182338361	11
SPICE1	5.162555275	1.638411393	SPICE1	1	1.129994656	3
MLH3	10.01122282	5.29010516	MLH3	0	-0.417634916	11
TOMM40L	-6.472195156	-12.08890651	TOMM40L	0	-0.627331556	6
MEST	11.82060366	1.716790528	MEST	1	1.279038225	3
AP1S3	3.266132508	5.077173978	AP1S3	-1	-1.288911961	3
DCLK2	10.63522053	17.00813395	DCLK2	0	-0.498227668	9
SRP68	-0.288850941	-7.200006572	SRP68	0	0.42827713	3
VEPH1	-9.431030561	3.675335454	VEPH1	0	0.763172972	3
GAP43	13.43692507	15.52411313	GAP43	0	-0.930518899	7
GFOD1	7.192348331	12.977739	GFOD1	0	-0.763998849	6
CDC20	-17.74573218	-5.877922966	CDC20	1	2.479021355	2
SLC30A5	7.17764867	2.144786975	SLC30A5	0	0.843379654	3
MRPL19	8.947039956	-0.504409747	MRPL19	0	0.676058835	1
PDCD7	9.729277057	1.215684602	PDCD7	0	0.522498428	3
KDELR2	-6.671892514	-15.87203999	KDELR2	0	0.790928371	2
SHC4	-5.958289301	2.084561667	SHC4	-1	-1.26814062	6
MAGT1	-5.353546676	-2.531521707	MAGT1	1	1.079642132	1
ENPP2	-5.870292972	8.710991607	ENPP2	1	1.688802955	2
HYOU1	1.729236936	-7.437482936	HYOU1	0	0.550731653	1
PDIA6	11.76856626	3.028438921	PDIA6	1	1.023793386	10
SLC2A10	-11.98091384	-2.547131348	SLC2A10	1	1.702066334	9
MARK1	11.35569183	15.90258049	MARK1	0	-0.509361226	4
ABLIM3	1.680312192	9.896207768	ABLIM3	-1	-1.039134435	3
LLGL1	-13.99833513	-10.8478462	LLGL1	0	0.856056372	2
CALCOCO2	3.162236755	3.978707409	CALCOCO2	0	0.98634474	4
ANKRD44	4.19534092	14.82002564	ANKRD44	0	-0.595132482	5
EIF3D	1.735949992	-11.92912987	EIF3D	0	0.623117147	3
OSER1	0.504560325	-10.42970725	OSER1	0	0.854980761	2
ANP32E	-17.92137153	-5.438977289	ANP32E	0	0.851410611	10
NEURL1	6.017931735	8.453506636	NEURL1	0	-0.729541812	2
RAPGEF3	-12.29046298	-0.17190481	RAPGEF3	-1	-1.11095016	3
SP1	-3.758622629	-4.575046429	SP1	0	0.857871824	6
NCAM1	9.686785137	18.61516007	NCAM1	0	-0.474304428	10
DUSP4	-9.407298019	0.412528088	DUSP4	0	-0.975585847	16
NUAK2	-14.09699781	-7.357321134	NUAK2	0	0.967886401	6
ERLIN1	3.898794952	-0.125864347	ERLIN1	0	0.806826511	2
SCN1A	11.68796509	18.21957526	SCN1A	-1	-1.054041429	3
GLI1	-13.29388021	-6.351888959	GLI1	1	2.227032257	5
RCL1	0.223410019	5.698901126	RCL1	0	0.758222138	10
LGALS3BP	-13.33678537	-1.913980755	LGALS3BP	0	0.619204084	10
ANK2	9.895175528	18.80910083	ANK2	0	-0.872837297	10
PPP3CB	11.64605029	13.3316017	PPP3CB	0	-0.595466731	5
NYAP2	14.55589184	17.34224272	NYAP2	0	-0.833796344	4
GPSM2	-4.781346787	8.489863021	GPSM2	1	1.128399687	5
ARHGAP26	10.66616494	17.8874907	ARHGAP26	0	-0.794099862	2
DAP	-9.400015879	4.538660228	DAP	0	0.587848506	6
DPF1	2.919286574	3.829686799	DPF1	0	-0.700822334	18
CRYBG2	-11.65543327	-9.145303489	CRYBG2	0	-0.927712606	5
GULP1	12.68148299	19.51137749	GULP1	1	1.784210456	3
PRRT3	0.697177345	-7.578533573	PRRT3	0	-0.565273423	7
NCSTN	-4.426204499	-10.69483819	NCSTN	0	0.553179415	5
SIK3	9.52878508	17.80698157	SIK3	0	-0.510944741	9
AKNAD1	4.455304858	1.435277163	AKNAD1	1	2.058571912	25
PDZD7	3.637012549	-3.709452053	PDZD7	0	-0.972034027	9
SH3RF3	8.070634823	15.21384565	SH3RF3	-1	-1.150298268	1
CPNE5	4.818401788	9.415128645	CPNE5	-1	-1.043841559	5
MAPK8IP2	4.859892713	-3.290544804	MAPK8IP2	0	-0.464501297	8
ACTL6B	3.09192896	3.577998676	ACTL6B	0	-0.8726762	9
CRB2	-13.10157968	-1.271488594	CRB2	1	2.005812567	19
BCL11A	6.450724902	17.5465162	BCL11A	-1	-1.667452492	9
CD164	3.999412225	-4.256856859	CD164	0	0.924219573	6
IMP4	-0.361976219	-12.38160368	IMP4	0	0.58298537	1
COPB2	7.61865788	-1.022710127	COPB2	0	0.908516051	4
GARNL3	8.543175533	15.8367584	GARNL3	0	-0.757173629	6
NSG2	13.35300138	14.47921503	NSG2	0	-0.825062001	7
TMEM170A	-6.288483365	-16.87840665	TMEM170A	0	0.585540035	10
ENTPD6	4.50895158	3.049312996	ENTPD6	0	-0.662808371	2
MT-CO2	9.445531275	21.8251469	MT-CO2	0	-0.84155619	23
AIG1	10.87761788	16.12003344	AIG1	0	-0.650602835	9
DNAAF3	-11.67796517	-9.169690866	DNAAF3	1	2.146169714	3
HSP90B1	9.969028315	-3.106749372	HSP90B1	0	0.719680006	7
TBC1D30	9.395948497	3.329724449	TBC1D30	0	-0.809867929	4
MICAL3	9.146416275	16.04982212	MICAL3	0	-0.581798677	1
HEATR5A	0.860563007	7.009844741	HEATR5A	0	0.997515613	11
FICD	-6.721771164	-12.31028465	FICD	0	0.635285665	5
CTSZ	-11.97932948	-0.718510384	CTSZ	1	2.50436252	2
DSTNP2	2.982216201	9.123345721	DSTNP2	0	-0.622039526	10
SLC6A7	4.060402142	7.935781856	SLC6A7	-1	-2.413637006	2
FZD7	-10.10403081	0.718875759	FZD7	1	1.832721582	18
PPIL4	9.473758074	2.442856191	PPIL4	0	0.745455389	5
KLF10	-9.601852441	-3.925485831	KLF10	1	1.092511752	5
WWTR1	-0.940694196	5.837570622	WWTR1	1	1.846350653	6
KHNYN	-10.06855404	-2.953736284	KHNYN	0	0.987044699	10
RNF130	8.470233017	16.26436575	RNF130	0	0.924298713	6
P4HB	1.892833455	-7.273569813	P4HB	1	1.251165547	2
NAV1	8.186056251	16.22755869	NAV1	0	-0.655513659	5
NHSL2	15.02197554	9.238118387	NHSL2	0	-0.698231586	14
MYCBP2	10.42764296	17.87745989	MYCBP2	0	-0.393130122	12
ZBTB42	-7.725627806	-12.26769826	ZBTB42	1	1.389877769	3
ITGAL	-11.14658403	-1.312274576	ITGAL	-1	-1.800911711	12
ZFP36L2	-13.51687098	2.106626442	ZFP36L2	1	1.322163894	17
RAP1GAP	5.297326478	10.36868389	RAP1GAP	0	-0.775813248	1
FBXL2	11.65277135	14.17305669	FBXL2	0	-0.641266913	2
ZNF300	-12.84754105	-6.713574192	ZNF300	-1	-1.30000795	17
TLN2	9.246112057	15.71834397	TLN2	0	-0.711579972	2
PLXND1	-6.38398602	-0.689824213	PLXND1	1	1.289737732	5
OLFM1	5.488150416	12.37600953	OLFM1	0	-0.719171931	18
JUN	5.070526285	-6.869850741	JUN	0	0.694435626	2
NMT1	10.23075229	3.363353107	NMT1	0	0.44119791	9
DYRK3	-6.471569238	-2.512150402	DYRK3	1	1.182339505	1
DESI1	0.468449544	-2.981076586	DESI1	0	-0.28688701	9
HS3ST1	-1.457590358	8.300146307	HS3ST1	-1	-1.718785454	4
CELF5	7.46256106	13.21901829	CELF5	-1	-1.022898453	15
STK17B	-7.17668666	1.137895628	STK17B	1	1.638654995	9
APBB1	7.968782752	6.315202937	APBB1	0	-0.482602662	13
PAICS	-3.970083493	-3.143789246	PAICS	0	0.419750545	2
RALGPS1	8.765265656	14.71448016	RALGPS1	0	-0.557204478	4
SLC35A2	-5.601148596	-11.97099377	SLC35A2	0	0.756564729	6
TPX2	-17.71286599	-5.767937865	TPX2	1	1.913869863	14
PURB	5.805662635	-3.182697708	PURB	0	0.695343365	9
SEZ6L2	11.53703904	-4.580509209	SEZ6L2	0	-0.610997976	22
DDB1	5.812282915	2.798624481	DDB1	0	0.422628735	2
DCTD	-0.850599195	-4.364180282	DCTD	0	0.409066149	14
MAN2B1	-3.816468426	-6.136870583	MAN2B1	0	0.85110493	10
SPOCK2	13.89727866	5.133282135	SPOCK2	0	-0.995967848	9
CCDC9	-6.630379609	-8.913980973	CCDC9	1	1.258791091	5
BTG3	-7.595993889	-19.15731279	BTG3	1	1.03986539	4
SUCLG2	-3.651861969	7.55172863	SUCLG2	1	1.569866038	19
PNMA6A	-4.133083508	-13.53847367	PNMA6A	0	-0.688410174	10
TMEM98	-6.916554401	7.995449717	TMEM98	0	0.925379828	5
TIMP1	-15.5047925	-1.665951933	TIMP1	1	1.528697148	3
BTBD6	1.345950209	-9.11984199	BTBD6	0	-0.855850133	2
SYPL1	-4.269537966	-1.540747865	SYPL1	0	0.867474683	19
SLC23A2	9.820215623	13.70359316	SLC23A2	0	-0.585078898	19
POLR3D	-14.13512197	-11.48888759	POLR3D	1	1.170532184	9
EIF4A3	-4.161128701	-13.08788141	EIF4A3	0	0.466489068	13
BAZ1A	-1.28225092	-1.207851491	BAZ1A	1	1.156213066	5
NALCN	9.5439358	17.52876201	NALCN	-1	-1.103069897	9
NEMP1	-4.621261465	-3.726249737	NEMP1	1	1.077372334	3
KIAA0930	7.512833611	12.20627538	KIAA0930	0	-0.479226295	19
CMTM6	1.114604264	-3.964633927	CMTM6	1	1.065697131	5
RUNX1T1	11.1390114	19.49983221	RUNX1T1	0	-0.986380605	2
GRIN2B	11.21951135	18.74835178	GRIN2B	-1	-1.226883934	4
TMEM263	4.334008366	-1.579702886	TMEM263	0	0.764729951	10
SOX12	-4.780660318	-8.004442264	SOX12	0	-0.528113647	2
ACTL6A	-16.33830644	-5.0023684	ACTL6A	1	1.105737078	5
N4BP3	-8.079588478	-10.57411689	N4BP3	0	-0.564071039	17
SPINK5	-8.819056519	-7.074516869	SPINK5	-1	-2.159816254	9
BRF1	4.017507392	2.702365954	BRF1	0	-0.785821487	2
ETV4	-7.785375615	-6.32556721	ETV4	-1	-1.478629973	22
LHFPL4	7.80964568	9.946435681	LHFPL4	0	-0.750601956	9
PRRT4	-9.980385825	-2.488783029	PRRT4	0	-0.928978048	14
SPRED3	-7.542494873	-3.241221858	SPRED3	0	-0.852661199	5
KCNC1	7.010212716	10.32144719	KCNC1	0	-0.55291032	6
CDKN2AIP	-5.868519514	-13.05858558	CDKN2AIP	0	0.553821815	5
VSTM2L	13.38456627	3.434421864	VSTM2L	0	-0.885389053	10
SSX2IP	6.384396734	11.79154421	SSX2IP	1	1.053800079	10
BCL2L12	-11.65152933	-10.96980525	BCL2L12	1	1.093466603	10
DNTTIP1	-0.874708388	-9.424759118	DNTTIP1	0	0.780532477	17
TACC2	2.289169341	9.954538142	TACC2	0	-0.292264214	12
DNAL1	5.005373782	2.268328653	DNAL1	0	0.539307665	18
ANKH	8.978145083	15.50530189	ANKH	0	-0.456382517	5
SSTR1	-10.01039187	1.16290994	SSTR1	-1	-2.263070861	9
CCNB2	-17.74758805	-5.763923662	CCNB2	1	2.471417894	6
GPRC5C	-12.90629772	-2.834881129	GPRC5C	1	1.127750424	6
ASB1	-4.550548081	-11.77992654	ASB1	0	0.533932698	1
AP3B2	7.364484082	8.899406117	AP3B2	0	-0.835296982	14
MCM7	-16.79801523	-5.106943507	MCM7	0	0.77398915	6
PDPN	-16.47873251	-2.01213033	PDPN	1	1.1505399	5
